Starting news ingestion for: BTC-USD, ETH-USD, SOL-USD, DOGE-USD, ADA-USD, XRP-USD, AVAX-USD, LINK-USD, DOT-USD, NEAR-USD, MON-USD, PEPE-USD, BONK-USD, WIF-USD, FET-USD, APT-USD, SUI-USD, SEI-USD, TIA-USD, INJ-USD, ARB-USD, OP-USD, MATIC-USD, LTC-USD, BCH-USD
Graph server: http://localhost:8080
Polling every 300 seconds. Ctrl+C to stop.
/home/scott/git/portfolio-management/graph-alpha-bot/app/data/news_ingest_simple.py:237: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  last_run = datetime.utcnow() - timedelta(seconds=interval)
/home/scott/git/portfolio-management/graph-alpha-bot/app/data/news_ingest_simple.py:241: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  now = datetime.utcnow()
/home/scott/git/portfolio-management/graph-alpha-bot/app/data/news_ingest_simple.py:83: DeprecationWarning: datetime.datetime.utcnow() is deprecated and scheduled for removal in a future version. Use timezone-aware objects to represent datetimes in UTC: datetime.datetime.now(datetime.UTC).
  published_at = datetime.utcnow()
2026-06-14 12:40:02,578 - INFO - Processed 45 articles
Saved 45 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 12:45:03,443 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 12:50:04,281 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 12:55:05,155 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:00:06,066 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:05:07,255 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:10:08,075 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:15:08,884 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:20:09,856 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:25:10,704 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:30:11,508 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:35:12,272 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:40:13,193 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:45:13,961 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:50:14,807 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 13:55:15,566 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:00:16,371 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:05:17,152 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:10:17,950 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:15:18,671 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:20:19,478 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:25:20,315 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:30:21,241 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:35:21,982 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:40:22,746 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:45:23,677 - INFO - Processed 45 articles
Saved 1 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:50:24,370 - INFO - Processed 45 articles
Saved 0 new articles locally; pushed to graph: 0 articles, 0 tickers
2026-06-14 14:55:25,189 - INFO - Processed 45 articles
